date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:48	231459/231459	---M-Z	200	added ('OK')	text/css	etag:%2238823-6217004d76306-gzip%22	https://templates.iqonic.design/booksto-dist/html/assets/vendor/phosphor-icons/Fonts/duotone/style.css	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/assets/vendor/phosphor-icons/Fonts/duotone/style.css	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:49	85821/85821	---M-Z	200	added ('OK')	text/css	etag:%2214f3d-6217004d8bacd-gzip%22	https://templates.iqonic.design/booksto-dist/html/assets/vendor/phosphor-icons/Fonts/fill/style.css	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/assets/vendor/phosphor-icons/Fonts/fill/style.css	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:49	235500/235500	---M-Z	200	added ('OK')	text/html	etag:%22397ec-6220d3170ae35-gzip%22	https://templates.iqonic.design/booksto-dist/html/index.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/index-2.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:49	114182/114182	---M--	200	added ('OK')	image/gif	etag:%221be06-6217004be7b7c%22	https://templates.iqonic.design/booksto-dist/html/assets/images/loader.gif	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/assets/images/loader.gif	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:49	10948/10948	---M--	200	added ('OK')	image/png	etag:%222ac4-6217004be7b7c%22	https://templates.iqonic.design/booksto-dist/html/assets/images/logo.png	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/assets/images/logo.png	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:50	10874/10874	---M--	200	added ('OK')	image/png	etag:%222a7a-6217004be7b7c%22	https://templates.iqonic.design/booksto-dist/html/assets/images/logo-white.png	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/assets/images/logo-white.png	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:50	5441/5441	---M--	200	added ('OK')	image/png	etag:%221541-6217004be7b7c%22	https://templates.iqonic.design/booksto-dist/html/assets/images/logo-mini-white.png	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/assets/images/logo-mini-white.png	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:50	258000/258000	---M-Z	200	added ('OK')	text/html	etag:%223efd0-6220d31710bf7-gzip%22	https://templates.iqonic.design/booksto-dist/html/shop/category-page.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/shop/category-page.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:50	239065/239065	---M-Z	200	added ('OK')	text/html	etag:%223a5d9-6220d3170fc57-gzip%22	https://templates.iqonic.design/booksto-dist/html/shop/book-page.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/shop/book-page.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:51	186442/186442	---M-Z	200	added ('OK')	text/html	etag:%222d84a-6220d3170fc57-gzip%22	https://templates.iqonic.design/booksto-dist/html/shop/book-pdf.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/shop/book-pdf.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:51	200511/200511	---M-Z	200	added ('OK')	text/html	etag:%2230f3f-6220d31710bf7-gzip%22	https://templates.iqonic.design/booksto-dist/html/shop/checkout.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/shop/checkout.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:51	199289/199289	---M-Z	200	added ('OK')	text/html	etag:%2230a79-6220d31710bf7-gzip%22	https://templates.iqonic.design/booksto-dist/html/shop/wishlist.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/shop/wishlist.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:51	201328/201328	---M-Z	200	added ('OK')	text/html	etag:%2231270-6220d31705073-gzip%22	https://templates.iqonic.design/booksto-dist/html/admin/dashboard.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/admin/dashboard.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:52	202009/202009	---M-Z	200	added ('OK')	text/html	etag:%2231519-6220d31705073-gzip%22	https://templates.iqonic.design/booksto-dist/html/admin/category-list.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/admin/category-list.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:52	204720/204720	---M-Z	200	added ('OK')	text/html	etag:%2231fb0-6220d317040d3-gzip%22	https://templates.iqonic.design/booksto-dist/html/admin/author.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/admin/author.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:52	207788/207788	---M-Z	200	added ('OK')	text/html	etag:%2232bac-6220d317040d3-gzip%22	https://templates.iqonic.design/booksto-dist/html/admin/books.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/admin/books.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:53	454709/454709	---M-Z	200	added ('OK')	text/html	etag:%226f035-6220d31711b97-gzip%22	https://templates.iqonic.design/booksto-dist/html/spacial-pages/kanban.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/spacial-pages/kanban.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:53	220860/220860	---M-Z	200	added ('OK')	text/html	etag:%2235ebc-6220d31711b97-gzip%22	https://templates.iqonic.design/booksto-dist/html/spacial-pages/calender.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/spacial-pages/calender.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:53	193557/193557	---M-Z	200	added ('OK')	text/html	etag:%222f415-6220d31712b38-gzip%22	https://templates.iqonic.design/booksto-dist/html/spacial-pages/pricing.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/spacial-pages/pricing.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:53	197403/197403	---M-Z	200	added ('OK')	text/html	etag:%223031b-6220d31711b97-gzip%22	https://templates.iqonic.design/booksto-dist/html/spacial-pages/invoice.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/spacial-pages/invoice.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:53	198034/198034	---M-Z	200	added ('OK')	text/html	etag:%2230592-6220d31712b38-gzip%22	https://templates.iqonic.design/booksto-dist/html/spacial-pages/timeline.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/spacial-pages/timeline.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:54	46061/46061	---M-Z	200	added ('OK')	text/html	etag:%22b3ed-62211264d6f00-gzip%22	https://templates.iqonic.design/booksto-dist/html/auth/sign-in.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/auth/sign-in.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:54	46374/46374	---M-Z	200	added ('OK')	text/html	etag:%22b526-6220d31706014-gzip%22	https://templates.iqonic.design/booksto-dist/html/auth/sign-up.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/auth/sign-up.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:26:54	45627/45627	---M-Z	200	added ('OK')	text/html	etag:%22b23b-6220d31705073-gzip%22	https://templates.iqonic.design/booksto-dist/html/auth/recoverpw.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/auth/recoverpw.html	(from https://templates.iqonic.design/booksto-dist/html/)
